# wavelength_um	value
3.66394864	3.84786490e-01
3.66400099	3.84811000e-01
3.66405333	3.84800860e-01
3.66410567	3.84303140e-01
3.66415802	3.84426740e-01
3.66421036	3.84216040e-01
3.66426271	3.83728510e-01
3.66431505	3.82751320e-01
3.66436740	3.82148820e-01
3.66441975	3.81773890e-01
3.66447210	3.81662160e-01
3.66452445	3.81881330e-01
3.66457680	3.82092300e-01
3.66462915	3.83636950e-01
3.66468150	3.83971950e-01
3.66473386	3.84238470e-01
3.66478621	3.71633360e-01
3.66483856	3.84587670e-01
3.66489092	3.84764130e-01
3.66494327	3.84869700e-01
3.66499563	3.84889190e-01
3.66504799	3.84963180e-01
3.66510034	3.85063910e-01
3.66515270	3.85051490e-01
3.66520506	3.85019590e-01
3.66525742	3.85053200e-01
3.66530978	3.85060630e-01
3.66536214	3.84769600e-01
3.66541451	3.82661280e-01
3.66546687	3.85085300e-01
3.66551923	3.85165080e-01
3.66557160	3.84208390e-01
3.66562396	3.85071200e-01
3.66567633	3.74087650e-01
3.66572870	3.84846890e-01
3.66578106	3.84836440e-01
3.66583343	3.84662380e-01
3.66588580	3.83483940e-01
3.66593817	3.82818500e-01
3.66599054	3.83498310e-01
3.66604291	3.84177660e-01
3.66609528	3.84511640e-01
3.66614766	3.85063450e-01
3.66620003	3.85070760e-01
3.66625240	3.85056120e-01
3.66630478	3.84812860e-01
3.66635716	3.83708060e-01
3.66640953	3.83890490e-01
3.66646191	3.84686980e-01
3.66651429	3.84213690e-01
3.66656667	3.74634780e-01
3.66661905	3.84032270e-01
3.66667143	3.83356330e-01
3.66672381	3.83095000e-01
3.66677619	3.83803300e-01
3.66682857	3.84010630e-01
3.66688095	3.82964970e-01
3.66693334	3.82751910e-01
3.66698572	3.83936890e-01
3.66703811	3.84012500e-01
3.66709050	3.83728690e-01
3.66714288	3.83119270e-01
3.66719527	3.82727110e-01
3.66724766	3.83306890e-01
3.66730005	3.82553000e-01
3.66735244	3.82095720e-01
3.66740483	3.76080690e-01
3.66745722	3.82749290e-01
3.66750961	3.76748720e-01
3.66756201	3.69730450e-01
3.66761440	3.76767570e-01
3.66766679	3.80669400e-01
3.66771919	3.83156580e-01
3.66777158	3.83179330e-01
3.66782398	3.82012430e-01
3.66787638	3.83373470e-01
3.66792878	3.49614010e-01
3.66798118	3.75357460e-01
3.66803358	3.84499200e-01
3.66808598	3.84534480e-01
3.66813838	3.84624360e-01
3.66819078	3.84480550e-01
3.66824318	3.84210230e-01
3.66829559	3.78081190e-01
3.66834799	3.83736130e-01
3.66840039	3.82302570e-01
3.66845280	3.81845310e-01
3.66850521	3.83495140e-01
3.66855761	3.82609160e-01
3.66861002	3.66487690e-01
3.66866243	3.83933550e-01
3.66871484	3.84627290e-01
3.66876725	3.84674770e-01
3.66881966	3.84641040e-01
3.66887207	3.84608650e-01
3.66892449	3.84472900e-01
3.66897690	3.84368220e-01
3.66902931	3.84293560e-01
3.66908173	3.83963170e-01
3.66913414	3.78764890e-01
3.66918656	3.82763720e-01
3.66923898	3.84227280e-01
3.66929139	3.84373060e-01
3.66934381	3.84325570e-01
3.66939623	3.84199360e-01
3.66944865	3.84073130e-01
3.66950107	3.83745660e-01
3.66955349	3.83454450e-01
3.66960592	3.81558590e-01
3.66965834	3.83278820e-01
3.66971076	3.83280110e-01
3.66976319	3.82313580e-01
3.66981561	3.82756370e-01
3.66986804	3.83644880e-01
3.66992046	3.83757550e-01
3.66997289	3.83896430e-01
3.67002532	3.80170460e-01
3.67007775	3.84157270e-01
3.67013018	3.84221480e-01
3.67018261	3.84170690e-01
3.67023504	3.83880200e-01
3.67028747	3.84142630e-01
3.67033990	3.83795850e-01
3.67039234	3.83762180e-01
3.67044477	3.83830090e-01
3.67049721	3.83747180e-01
3.67054964	3.83370420e-01
3.67060208	3.80034780e-01
3.67065452	3.83279190e-01
3.67070695	3.82981850e-01
3.67075939	3.82479040e-01
3.67081183	3.81847110e-01
3.67086427	3.77480880e-01
3.67091671	3.78202510e-01
3.67096916	3.73230440e-01
3.67102160	3.62624120e-01
3.67107404	3.52961710e-01
3.67112648	3.55646350e-01
3.67117893	3.47602230e-01
3.67123138	3.76425440e-01
3.67128382	3.71290760e-01
3.67133627	3.79188420e-01
3.67138872	3.81476310e-01
3.67144116	3.82289290e-01
3.67149361	3.82669440e-01
3.67154606	3.82843370e-01
3.67159851	3.80620990e-01
