# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Tue May 26 06:38:48 2026
# Radiative transfer took 1.438 seconds
# Spectral unit: Wavelength[nm]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2  Rayleigh CIA
2.430931677e+03 9.76508e-01 9.80685e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 9.99007e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430939780e+03 9.73235e-01 9.77363e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 9.99043e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430947883e+03 9.72030e-01 9.76187e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 9.99007e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430955986e+03 9.74067e-01 9.78334e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 9.98904e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430964090e+03 9.77243e-01 9.81689e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 9.98736e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430972193e+03 9.80091e-01 9.84774e-01 1.00000e+00 1.00000e+00 1.00000e+00 9.99999e-01 9.98508e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430980296e+03 9.82080e-01 9.87117e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99999e-01 9.98161e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430988399e+03 9.83294e-01 9.88757e-01 1.00000e+00 9.99997e-01 1.00000e+00 9.99999e-01 9.97739e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.430996503e+03 9.83788e-01 9.89860e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99999e-01 9.97127e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.431004606e+03 9.83607e-01 9.90714e-01 1.00000e+00 9.99999e-01 1.00000e+00 9.99999e-01 9.96083e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.431012709e+03 9.82697e-01 9.91663e-01 1.00000e+00 9.99987e-01 1.00000e+00 9.99999e-01 9.94223e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.431020813e+03 9.80108e-01 9.92659e-01 1.00000e+00 9.99997e-01 1.00000e+00 9.99999e-01 9.90597e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.431028916e+03 9.72764e-01 9.93511e-01 1.00000e+00 9.99994e-01 1.00000e+00 9.99999e-01 9.82335e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.431037019e+03 9.52269e-01 9.94169e-01 1.00000e+00 9.99958e-01 1.00000e+00 1.00000e+00 9.61037e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.431045123e+03 9.56638e-01 9.94661e-01 1.00000e+00 9.99996e-01 1.00000e+00 1.00000e+00 9.64930e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.431053226e+03 9.74386e-01 9.95029e-01 1.00000e+00 9.99999e-01 1.00000e+00 1.00000e+00 9.82466e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.431061330e+03 9.81819e-01 9.95308e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.89683e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96873e-01
2.431069433e+03 9.84976e-01 9.95521e-01 1.00000e+00 1.00000e+00 1.00000e+00 1.00000e+00 9.92653e-01 1.00000e+00 1.00000e+00 9.99859e-01 9.96872e-01
